agencyId,agencyName,uoaId,uoaName,line,description,payBank,titleCode,minRate,maxRate,numPositions,annualRate,
002,Mayoralty,020,Office of the Mayor-PS,1100,Mayor,D 002,12995,45758,225000,1,225000
002,Mayoralty,020,Office of the Mayor-PS,1106,Deputy Mayor,D 002,12940,49492,212614,1,212614
002,Mayoralty,020,Office of the Mayor-PS,1161,Assistant to the Mayor,D 002,13209,49492,212614,2,340000
002,Mayoralty,020,Office of the Mayor-PS,1163,Assistant to the Mayor,D 002,06508,49492,212614,3,412614
002,Mayoralty,020,Office of the Mayor-PS,1172,Assistant to the Deputy M,D 002,05278,49492,212614,6,1046611
002,Mayoralty,020,Office of the Mayor-PS,1173,Director of Intergovernme,D 002,05026,49492,212614,1,200000
002,Mayoralty,020,Office of the Mayor-PS,1185,Exec Asst. for Prgm & Po,D 002,13284,49492,212614,1,135492
002,Mayoralty,020,Office of the Mayor-PS,1190,Administrative Manager,D 002,10025,49492,212614,7,735502
002,Mayoralty,020,Office of the Mayor-PS,1191,Director Correspondence S,D 002,06031,49492,212614,1,105582
002,Mayoralty,020,Office of the Mayor-PS,1194,Administrative Assistant,D 002,10146,49492,212614,1,70000
002,Mayoralty,020,Office of the Mayor-PS,1200,Administrative Staff Anal,D 002,10026,49492,212614,10,1248237
002,Mayoralty,020,Office of the Mayor-PS,1201,Administrative Project Ma,D 002,83008,49492,212614,2,228000
002,Mayoralty,020,Office of the Mayor-PS,1203,Assist to Deputy Mayor,D 002,13259,49492,212614,1,192198
002,Mayoralty,020,Office of the Mayor-PS,1277,Mayoral Program Coordinat,D 002,06423,43574,76986,1,44346
002,Mayoralty,020,Office of the Mayor-PS,1284,Research Projects Coordin,D 002,05277,33000,113500,3,125300
002,Mayoralty,020,Office of the Mayor-PS,1290,Mayoral Office Assistant,D 002,06405,27643,70567,13,475532
002,Mayoralty,020,Office of the Mayor-PS,1294,Administrative Staff Anal,D 002,10026,49492,212614,2,268713
002,Mayoralty,020,Office of the Mayor-PS,1295,Mayoral Office Assistant,D 002,06405,27643,70567,4,151275
002,Mayoralty,020,Office of the Mayor-PS,1297,Administrative Staff Anal,D 002,10026,49492,212614,1,92135
002,Mayoralty,020,Office of the Mayor-PS,1298,Administrative Manager,D 002,10025,49492,212614,1,140000
002,Mayoralty,020,Office of the Mayor-PS,1328,Sr Project Planner (Ma),D 002,05482,54876,97918,2,183570
002,Mayoralty,020,Office of the Mayor-PS,1350,Staff Assistant (Office O,D 002,06393,34000,89254,8,436956
002,Mayoralty,020,Office of the Mayor-PS,1465,Deputy Mayor,D 002,12940,49492,212614,1,212614
002,Mayoralty,020,Office of the Mayor-PS,1522,Project Planner (Ma),D 002,05481,60998,76857,4,298832
